	idx	parents_id	title	type	definition	corpus	grade
26	26	[]	大弧	1		[]	['其他']
27	27	[386]	实根	1		[]	['其他']
28	28	[2, 1720]	指数	1	见“幂	[]	['其他']
29	29	[3377, 134, 1524, 362, 1188, 2017, 1534]	直线	1	数学中一个不定义的概念。是几何的基本元素之一。可以向两个方向无限延伸，经过两点有且只有一条直线，两条直线相交只有一个交点。直线上某一点一旁的部分称为射线，这个点称为射线的端点。直线上两点间的部分称为线段，这两点称为线段的端点。	[]	['其他']
30	30	[]	形心	1	平面图形的面积中心或立体图形的体积中心。	[]	['其他']
31	31	[3638, 3639, 172]	数列	1	按某种顺序依次排列的一组数：a_１，a_２，…，a_n，…，简记为｛a_n｝。数列里的每一个数称为数列的项，第n个数称为第n项，也称为数列的“通项”。当项数有限时称为“有穷数列”，否则称为“无穷数列”。	[]	['其他']
32	32	[]	组限	1		[]	['其他']
33	33	[]	点圆	1		[]	['其他']
34	34	[]	反证	1	可以驳倒原论证的证据。	[]	['其他']
35	35	[116]	短轴	1		[]	['其他']
36	36	[29, 784, 1623, 213, 128, 1102, 3407, 881, 3413, 436, 1718]	斜率	1	由一条直线与X轴形成的角的正切。	[]	['其他']
37	37	[]	截段	1		[]	['其他']
38	38	[]	互素	1		[]	['其他']
39	39	[6, 0]	微分	1	设函数y＝f(x)在某区间有定义，x_0和x_0+δx在这个区间内，如果函数的增量δy＝f(x_0+δx)-f(x_0)可表示为δy＝aδx+o(δx),其中a是不依赖于δx的常数，而o(δx)是比δx高阶的无穷小量，那么称函数y＝f(x)在点x_0是可微的，而aδx称为函数y＝f(x)在点x_0相应于自变量增量δx的微分，记作dy＝aδx。这时a＝f′(x)，再记δx＝dx，则dy＝f′(x)dx。	[]	['其他']
40	40	[62]	外切	1	如果一个多边形(或多面体)的每一边(或多面体之每一面)均与位于其内的一条闭曲线(或曲面)相切,则称此多边形(或多面体)外切于该曲线(或曲面)。如：外切形。	[]	['其他']
41	41	[351, 224]	根式	1	含有开方运算的算式或代数式。如（n为大于1的正整数，n为奇数时，a为一切实数；n为偶数时，a≥0）。	[]	['其他']
42	42	[483]	等圆	1		[]	['其他']
43	43	[187, 3491, 6, 496]	圆柱	1	以矩形的一边所在的直线为旋转轴，其余各边旋转一周而形成的几何体。旋转轴称为圆柱的轴，在轴上这条边的长度称为圆柱的高，垂直于轴的边旋转而成的圆面称为圆柱的底面，平行于轴的边旋转而成的侧面称为圆柱的侧面。无论旋转到什么位置此边都称为圆柱的母线。底面半径为r，高为h的圆柱的侧面积为s=2πrh，体积为v=πr^2h。	['圆柱体']	['其他']
44	44	[]	标度	1	一系列用线或点标出来的间隔,用来计量距离、数额或数量。	[]	['其他']
45	45	[]	极大	1	最大值。	[]	['其他']
46	46	[787, 1064, 393]	虚轴	1		[]	['其他']
47	47	[]	顶角	1	三角形的底边所对的角或锥体的底面所对的立体角。	[]	['其他']
49	49	[31, 1399, 596, 1423]	首项	1	一系列中的第一项。	[]	['其他']
50	50	[721, 447, 3547]	终边	1		[]	['其他']
51	51	[19]	定点	1	在坐标系中确定的点。	[]	['其他']
52	52	[]	数系	1		[]	['其他']
53	53	[]	真值	1		[]	['其他']
54	54	[31]	末项	1		[]	['其他']
56	56	[]	螺线	1	在平面极坐标系中，设动点的极坐标为(ρ，θ)，当极径ρ随极角θ的增加而增加(或减小)时，动点的轨迹。最常见的螺线有阿基米德螺线、对数螺线、双曲螺线等。	[]	['其他']
57	57	[1136]	旋转	1	转动	[]	['其他']
58	58	[]	内点	1		[]	['其他']
59	59	[]	力偶	1	作用于物体上的大小相等、方向相反而且不在一直线上的两个力。力偶能使物体转动或改变转动状态。	[]	['其他']
60	60	[128]	下凹	1		[]	['其他']
61	61	[29, 169, 82]	交线	1		[]	['其他']
62	62	[]	交点	1	线与线、线与面相交的点。	[]	['其他']
63	63	[]	倍数	1	一个数能够被另一数整除，这个数就是另一数的倍数。如15能够被3或5整除，因此15是3的倍数，也是5的倍数。	[]	['其他']
64	64	[1876, 128]	分解	1	一个整体分成它的各个组成部分，例如物理学上力的分解，数学上因式的分解等。	[]	['其他']
65	65	[]	舍去	1		[]	['其他']
66	66	[64, 534, 195, 144, 1130, 491, 1046]	约分	1	用分子和分母的公约数分别去除分子和分母，使分数化简而分数值不变的演算。任一分数都可通过约分化成最简分数。类似地，对于分式也有约分运算。	[]	['其他']
67	67	[]	相离	1	两圆没有交点而且没有一个圆在另一个圆内部。	[]	['其他']
68	68	[]	标量	1	有大小而没有方向的物理量，如体积、温度等。	['数量']	['其他']
69	69	[]	正弦	1	除了在角的终边上的顶点外，任何点的（y）坐标被该点和顶点的距离所除，顶点和平面直角坐标系的原点重合，而角的初始边和正（X）轴相重合。	[]	['其他']
70	70	[]	交角	1	线与线、线与面或面与面相交而成的角。	[]	['其他']
71	71	[6, 4, 362, 225, 357, 1137, 674]	直径	1	通过圆心且两个端点都在圆上任意一点的线段，一般用符号d表示。	[]	['其他']
72	72	[3354, 531, 447]	钝角	1	大于直角（90°）而小于平角（180°）的角。	[]	['其他']
73	73	[]	图尺	1		[]	['其他']
74	74	[1691, 1687, 386]	增根	1		[]	['其他']
75	75	[1376, 511, 863]	边长	1		[]	['其他']
76	76	[754, 3418, 1081, 596]	整式	1	见“有理式”。	[]	['其他']
77	77	[505]	差集	1		[]	['其他']
78	78	[29, 19, 3407, 380, 1102, 709, 1795, 1718]	截距	1		[]	['其他']
79	79	[842, 1120, 132, 1328, 1765]	内心	1	三角形内切圆的圆心。是三角形三条角平分线的交点，到三边的距离相等。内心在三角形形内。	[]	['其他']
80	80	[62]	垂足	1	见“垂线足”。	[]	['其他']
81	81	[326, 4, 674]	焦弦	1		[]	['其他']
82	82	[62]	相交	1	在数学中，相交是两个几何图形之间关系的一种。两个图形相交是指它们有公共的部分，或者说同时属于两者的点的集合不是空集。若两个几何图形在某个地方有且只有有一个交点，则可以称为相切而不是相交。如果两个图形完全重合，则一般不称为相交。	[]	['其他']
84	84	[]	弧线	1		[]	['其他']
85	85	[349]	乘法	1	数学中基本运算方法之一。最简单的是正整数的乘法，即几个相同的数连加的简便算法，用连加的次数来乘被加数。例如2连加5次，就用5来乘2。	['乘']	['其他']
86	86	[]	容量	1	容器能够容纳物质的量。	[]	['其他']
87	87	[1377]	余切	1	直角三角形任意一锐角的邻边和对边的比，叫做该锐角的馀切。用ctg(角)表示。参见“三角函数”。	[]	['其他']
88	88	[]	分割	1	把整体或有联系的东西分开：民主和集中这两方面，任何时候都不能分割开。	[]	['其他']
89	89	[3428, 456, 735, 206, 1942, 861]	空集	1	不含任何元素的集合。如｛x｜x≠x｝、｛数轴上与原点距离小于零的点｝等。通常用符号表示。是任一集合的子集。	[]	['其他']
90	90	[597, 372]	减法	1	数学中的一种运算方法。最简单的是数的减法，即从一个数减去另一个数的计算方法。	[]	['其他']
91	91	[456]	全集	1		[]	['其他']
92	92	[]	下标	1	作下角标志的符号;尤指起同类相别作用的下标符号。常用小号字印在或写在比其它符号稍低处,但不是紧接它的下方的。如：H2O的下标2。	[]	['其他']
93	93	[]	等集	1		[]	['其他']
95	95	[]	环体	1		[]	['其他']
96	96	[]	区限	1		[]	['其他']
97	97	[3678, 456]	区间	1	表示实变量x的取值范围。设a、b是两个实数，且a＜b，满足a＜x＜b的实数x的集合记为(a，b)或］a，b［，称为开区间；满足a≤x≤b的实数x的集合记为［a，b］，称为闭区间。满足a≤x＜b或a＜x≤b的实数x的集合，分别记为［a，b)、［a，b［或(a，b］、］a，b］，称为半开半闭区间。	[]	['其他']
98	98	[2, 402]	对数	1	如果ak＝b（a＞o，a≠1），k就叫做以a为底的b的对数，记作logab＝k。其中a叫做底数，简称底；b叫做真数。	[]	['其他']
99	99	[]	数型	1		[]	['其他']
100	100	[]	直观	1	以感觉直接接受的或直接观察的	[]	['其他']
101	101	[]	余项	1		[]	['其他']
103	103	[1315, 3542, 128, 754, 1219, 1718, 386, 1795, 596, 743, 3524, 3504, 3525, 2729, 1377, 735]	变量	1	数值可以变化的量。如一天内的气温就是变量。	[]	['其他']
104	104	[29, 6, 185, 196, 1524, 362]	切线	1	直线和圆有唯一公共点时，称为直线和圆相切；和圆相切的直线称为圆的切线。一般地，过曲线上一点p，引割线pq，交曲线于另一点q，当点q沿着曲线向点p无限逼近时，割线的极限位置pt称为曲线在点p处的切线。在空间与球只有一个公共点的直线，称为球的切线。	[]	['其他']
105	105	[2, 1402]	底数	1	1.以之为基准而构成一组数或一数学表的数。如：一组对数的底数。	[]	['其他']
106	106	[128, 3407, 1392, 1615]	参数	1	即“参变量”。	[]	['其他']
107	107	[]	变差	1		[]	['其他']
108	108	[]	乘数	1	相乘两数中的后一数。如：2×4=8,4是乘数。	[]	['其他']
109	109	[]	失根	1		[]	['其他']
110	110	[]	移项	1	任一项从方程的这一侧到另一侧的变号移动。	[]	['其他']
111	111	[29, 3355]	对边	1		[]	['其他']
112	112	[287]	抽样	1	数理统计的基本概念。从总体中抽取若干个体，以获取总体信息。最常用的一种方法是简单随机抽样，它要求：(1)总体中每一个个体有相同的机会被抽取；(2)每次抽取与其他各次抽取无关。	[]	['其他']
113	113	[]	底角	1	平面图形内，以底边为其一边的角。	[]	['其他']
114	114	[]	消法	1		[]	['其他']
115	115	[517]	代数	1	见“代数学”。	[]	['其他']
116	116	[1392, 3644, 1893, 362, 1591]	椭圆	1	1.亦作“椭圜”。	[]	['其他']
117	117	[]	边界	1	地区和地区之间的界线（多指国界，有时也指省界、县界）：边界线ㄧ越过边界。	[]	['其他']
118	118	[]	位相	1		[]	['其他']
119	119	[31]	上界	1	一个与偏序集有关的特殊元素，指的是偏序集中大于或等于它的子集中一切元素的元素。	[]	['其他']
120	120	[1596, 402]	离散	1		[]	['其他']
121	121	[169, 655, 637, 425, 285, 43, 202, 406, 797]	底面	1		[]	['其他']
122	122	[]	共轴	1		[]	['其他']
123	123	[987]	补角	1	两个角之和等于平角时，称一个角是另一个角的补角。	[]	['其他']
124	124	[823]	极角	1		[]	['其他']
125	125	[245]	否定	1	否认事物的存在或事物的真实性（跟‘肯定’相对）。	[]	['其他']
126	126	[]	纵线	1		[]	['其他']
127	127	[19, 6, 1137, 842, 132, 1765]	外心	1	三角形外接圆的圆心。是三角形三条边的垂直平分线的交点，到三个顶点的距离相等。锐角三角形的外心在三角形形内；直角三角形的外心与斜边的中点重合；钝角三角形的外心在三角形形外。	[]	['其他']
128	128	[104, 171, 374, 1638, 674, 3699]	函数	1	在某一变化过程中，两个变量x、y，对于某一范围内的x的每一个值，y都有确定的值和它对应，y就是x的函数。这种关系一般用y=f(x)来表示。	[]	['其他']
129	129	[]	邻边	1		[]	['其他']
130	130	[]	转矩	1	产生或趋向于产生转动、扭转的作用，转矩的有效值用力与力的作用线到转轴的距离之积来量度。	[]	['其他']
131	131	[]	圆族	1		[]	['其他']
132	132	[51, 19, 6, 169, 1137, 1120, 714, 1609]	圆心	1	数学名词。圆的中心。同一平面上与圆周上各点距离都相等的一点。	[]	['其他']
133	133	[0, 3373, 697]	度数	1		[]	['其他']
134	134	[1638, 1465, 362, 1534]	曲线	1	在平面上或空间中按一定条件随时间而变动的动点的轨迹。如平面上一动点到一定点的距离保持不变的轨迹是圆。	[]	['其他']
135	135	[]	中数	1		[]	['其他']
136	136	[]	常项	1		[]	['其他']
137	137	[]	满秩	1		[]	['其他']
138	138	[6, 0, 1225, 1832, 842, 1376, 1918, 1120, 863, 733, 688, 183, 2021, 1765, 116]	周长	1	圆、椭圆或其他闭合的曲线的周界长度。	[]	['其他']
139	139	[]	次根	1		[]	['其他']
140	140	[1542, 2017, 3457, 2952]	数轴	1	规定了原点、正方向和单位长度的直线。原点对应数0，从原点出发，正向射线上的点对应正数，反向射线上的点对应负数。数轴上所有的点与实数一一对应。	[]	['其他']
141	141	[]	数式	1		[]	['其他']
142	142	[]	守恒	1	皮亚杰提出的心理学名词。物体从一种形态转变为另一种形态时，仍能认识物体的某些特征(如数、量、体积、重量等)是不变的。如一个泥球无论把它捏成薄饼状还是搓成香肠形，它的泥量不变。皮亚杰认为儿童从六七岁起逐步获得守恒概念。	[]	['其他']
143	143	[]	平方	1	一个数自乘，即指数是2的乘方。	[]	['其他']
144	144	[534, 491, 629, 815, 880, 3461]	分子	1	在数学界里，分子表示分数中写在分数线上面的数。一般情况下，分子为整数，当分子不为整数时，需利用分数的基本性质将其化为整数。	[]	['其他']
145	145	[]	小圆	1		[]	['其他']
146	146	[]	单位	1	量度中作为记数单元所规定的标准量。如长度的计量单位是“米”；质量的计量单位是“千克”；时间的计量单位是“秒”等。	[]	['其他']
147	147	[1377]	余弦	1	直角三角形任意一锐角的邻边和斜边的比，叫做该锐角的馀弦，用cos(角)表示。参见“三角函数”。	[]	['其他']
148	148	[]	并项	1		[]	['其他']
149	149	[]	正态	1		[]	['其他']
150	150	[]	递减	1	依次减少。	[]	['其他']
151	151	[]	合数	1	在大于1的整数中，除了1和这个数本身，还能被其他正整数整除的数，如4,6,9,15,21。	[]	['其他']
152	152	[456]	数集	1		[]	['其他']
153	153	[]	量网	1		[]	['其他']
154	154	[29, 80, 1605, 842, 2021, 362]	垂线	1	两条直线相交成直角，称这两条直线互相垂直，其中一条直线称为另一条直线的垂线。它们的交点称为垂足。如果一条直线和一个平面内的任何一条直线都垂直，那么称这条直线和这个平面互相垂直，这条直线称为平面的垂线。	[]	['其他']
155	155	[0, 183]	弧长	1		[]	['其他']
156	156	[402]	正数	1	正数是数学术语，比0大的数叫正数（positive number），0本身不算正数。	[]	['其他']
157	157	[134]	拐点	1	原指数学上改变曲线向上或向下方向的点。	[]	['其他']
158	158	[]	共轭	1		[]	['其他']
159	159	[]	满射	1		[]	['其他']
160	160	[3454]	统计	1	为反映社会某种现象的现状、过程或特征，采用各种调查方法以取得所需资料并进行整理和分析研究的工作。如进行人口普查，对所取得的资料进行分类、分组、汇总，据以分析研究人口的各种构成和变动情况等。“统计”一词，也常用以指统计资料或统计学。	[]	['其他']
161	161	[314]	实部	1		[]	['其他']
162	162	[]	千位	1		[]	['其他']
163	163	[]	等边	1		[]	['其他']
164	164	[213, 632, 347, 128, 1380, 828]	极值	1	极大值和极小值的统称。设函数f(x)在(x_0-δ，x_0+δ)(δ＞0)内有定义，且对于一切x∈(x_0-δ，x_0+δ)有f(x)≤f(x_0)(或f(x)≥f(x_0)，则称f(x_0)是f(x)的一个极大值(或极小值)，又称x_0是f(x)的一个极大值点(或极小值点)。	[]	['其他']
165	165	[]	母集	1		[]	['其他']
166	166	[3491]	棱柱	1	两个底面是平行的全等多边形，侧面都是平行四边形的多面体。	[]	['其他']
167	167	[]	迭代	1	迭代是重复反馈过程的活动，其目的通常是为了逼近所需目标或结果。每一次对过程的重复称为一次“迭代”，而每一次迭代得到的结果会作为下一次迭代的初始值。	[]	['其他']
168	168	[]	等式	1	数学用语。表示两个量或两个表达式的相等关系而用等号(=)联结的式子。如x=2﹐3×2=3+3﹐y+1=5﹐等等。	[]	['其他']
169	169	[3496, 1191, 987, 1650, 1534, 362]	平面	1	几何中最基本的概念之一。平静的水面、光滑的镜面等形象的数学抽象。它应理解为可以无限伸展，也可看成是由直线运动产生的。平面有下列基本性质(公理)：(1)如果一条直线上有两个点在一个平面内，那么这直线上所有的点都在这个平面内；(2)如果两个平面有一个公共点，那么它们相交于经过这个点的一条直线；(3)不在一条直线上的三个点，可以确定一个平面。	[]	['初中二年级']
170	170	[116, 19, 326, 787]	焦距	1	曲面镜的顶点或薄透镜的中心到主焦点的距离。	[]	['其他']
171	171	[456, 334]	映射	1	在数学里，映射是个术语，指两个元素的集之间元素相互“对应”的关系，为名词。映射，或者射影，在数学及相关的领域经常等同于函数。	[]	['其他']
172	172	[1743, 3655]	排列	1	从m个不同的元素里，每次取出n个元素，按照某种顺序排成一列，称为排列。当1≤n＜m时，称为选排列，其所有不同排列的种数用符号p^n_m或a^n_m表示，p^n_m=m(m-1)(m-2)…(m-n+1)=m![](m-n)!。当n=m时，称为全排列，其所有不同排列的种数简记为p_m或a_m，p_m=m(m-1)(m-2)…2·1=m!。	[]	['其他']
173	173	[1115, 779, 1609, 618, 1774, 1893, 1830, 997, 408]	对称	1	指图形或物体对某个点、直线或平面而言，在大小、形状和排列上具有一一对应关系。如人体、船、飞机的左右两边，在外观上都是对称的。	[]	['其他']
174	174	[496, 797]	侧棱	1	相邻两个侧面的交线。	[]	['其他']
175	175	[]	像原	1		[]	['其他']
176	176	[839, 709, 1389, 164, 632, 1942, 1315, 128, 674, 1402, 735, 1344, 3700, 828]	最值	1		[]	['其他']
177	177	[31]	下界	1	存在一个实数a和一个实数集合B，使得对∀x∈B，都有x≥a，则称a为B的下界（lower bound）。	[]	['其他']
178	178	[456, 334]	并集	1	又称“和集”。设a、b为两个集合，则由属于a或属于b的所有元素所组成的集合，称为a与b的“并集”，简称a与b的“并”。记作a∪b，如图所示。求并集是集合的基本运算之一，相当于算术中的加法，满足交换律和结合律。　	[]	['其他']
179	179	[3457]	象限	1	平面直角坐标系的两坐标轴把平面分成四个部分(不包括坐标轴)，按逆时针方向排列，分别称为第一象限、第二象限、第三象限、第四象限。	[]	['其他']
180	180	[974, 739]	极差	1		['全距']	['其他']
181	181	[]	连比	1	三个或三个以上的数连续相比，这样的比叫做连比。如3，5，7的连比是3：5：7。	[]	['其他']
182	182	[]	商式	1		[]	['其他']
183	183	[202]	扇形	1	一条弧和经过这条弧的端点的两条半径所组成的图形。扇形的弧所对的圆心角称为扇形的顶角。	[]	['其他']
184	184	[1952, 1895, 1893, 920]	菱形	1	有一组邻边相等的平行四边形。具有下列性质：(1)四条边都相等；(2)两条对角线互相垂直，且每一条对角线平分一组对角；(3)是轴对称图形，两条对角线所在直线是它的对称轴。	[]	['其他']
185	185	[62, 196]	相切	1		[]	['其他']
186	186	[154, 80]	斜足	1		[]	['其他']
187	187	[920, 1893, 1952, 1895, 169, 362]	矩形	1	对边相等（通常邻边不相等），四个角都是直角的四边形。也叫长方形。	[]	['其他']
188	188	[]	时间	1	时间	[]	['其他']
189	189	[]	乘方	1	n个a相乘的积a^n称为a的n次乘方。一般，二次乘方称为“平方”，三次乘方称为“立方”。从a求a^n的运算也称“乘方”。	[]	['其他']
190	190	[]	数偶	1		[]	['其他']
191	191	[]	环面	1		[]	['其他']
192	192	[]	变率	1	变化的速度。	[]	['其他']
193	193	[1067, 1110, 287, 3532, 1135, 359, 3692, 3454]	方差	1	概率论的基本概念。是用来表示随机变量与其期望之间离散程度的一个量。若随机变量ξ的期望为eξ，则ξ与eξ的偏差平方的加权平均e(ξ-eξ)^2，称为ξ的方差，常记作dξ或varξ。随机变量的方差由其概率分布唯一确定，故也称某分布的方差。为使量纲一致，常应用方差的平方根dξ，称为“根方差”或“均方差”。	[]	['初中二年级']
194	194	[31]	极限	1	“极限”是数学中的分支——微积分的基础概念，广义的“极限”是指“无限靠近而永远不能到达”的意思。数学中的“极限”指：某一个函数中的某一个变量，此变量在变大（或者变小）的永远变化的过程中，逐渐向某一个确定的数值A不断地逼近而“永远不能够重合到A”（“永远不能够等于A，但是取等于A‘已经足够取得高精度计算结果）的过程中，此变量的变化，被人为规定为“永远靠近而不停止”、其有一个“不断地极为靠近A点的趋势”。极限是一种“变化状态”的描述。此变量永远趋近的值A叫做“极限值”（当然也可以用其他符号表示）。	[]	['其他']
195	195	[534, 491, 1691, 629, 815, 880]	分母	1	分式中写在分数线下面的数或代数式叫分母。分母是已知数的分数叫整式，分母是未知数的分数叫分式。分母应该不能为零。	[]	['其他']
196	196	[]	切点	1	曲线转变为直反线的点或改变其曲率的点。	[]	['其他']
197	197	[]	公倍	1		[]	['其他']
198	198	[]	切面	1	和球面只有一个交点的平面称作球的切面;只包含圆柱、圆锥的一条母线的平面，称作圆柱或圆锥的切面。	[]	['其他']
199	199	[]	楔体	1		[]	['其他']
200	200	[372]	数量积	1		['内积', '点积', '标准内积', '点乘']	['其他']
201	201	[]	减量	1		[]	['其他']
202	202	[57, 3491]	圆锥	1	以直角三角形的一直角边所在直线为旋转轴，其余各边旋转一周而形成的几何体。旋转轴称为圆锥的轴，在轴上的此边的长度称为圆锥的高，垂直于轴的边旋转而成的圆面称为圆锥的底面，不垂直于轴的边旋转而成的曲面称为圆锥的侧面。无论旋转到什么位置，此边都称为圆锥的母线。底面半径为r，母线为l，高为h的圆锥的侧面积为s=πrl，体积为v=13πr^2h。	[]	['其他']
203	203	[]	质点	1	由实际物体抽象出来的力学“理想模型”。在研究物体的运动时，如果只考察物体的整体运动，且物体的大小比其运动轨道的线度小得多的情况下，可把物体看成质点。如研究地球绕太阳的公转规律时，可将地球看成质点，这将使研究的问题大为简化。	[]	['其他']
204	204	[456]	交集	1	（不同的感情、事物等）同时出现：百感交集ㄧ惊喜交集ㄧ雷雨交集。	[]	['其他']
205	205	[]	根心	1	也称“等幂心”。与三个(其中没有两个是同心的)定圆有等幂的点。若三个定圆的圆心不共线，则这三个定圆中，每取两圆的三条根轴交于一点，这个点就是三个圆的根心。	[]	['其他']
206	206	[140, 3428, 456, 386, 735, 2029, 2020, 2003, 2013]	解集	1		[]	['其他']
207	207	[]	发散	1	在数学分析中，与收敛（convergence)相对的概念就是发散(divergence)。	[]	['其他']
208	208	[]	对偶	1	对偶是大自然中广泛存在的，呈“分形”形态分布的一种结构规律，及任何系统往下和往上均可找出对偶二象的结构关系，且二象间具有完全性、互补性、对立统一性、稳定性、互涨性和互根性。	[]	['其他']
209	209	[]	区域	1	地区：跨区域｜区域自治。	[]	['其他']
211	211	[3547]	零角	1		['0角']	['其他']
212	212	[6, 183, 476, 3352, 823, 769, 553, 1137, 714, 1507, 357, 3492, 262]	半径	1	连接圆心和圆周上任意一点的线段叫做圆的半径；连接球心和球面上任意一点的线段叫做球的半径。	[]	['其他']
213	213	[128, 1623, 374, 1290, 615, 1614]	导数	1	又称“微商”。设函数y＝f(x)在x_０的某个邻域内有定义，若当x→x_0时，f(x)－f(x_０)x－x_０的极限存在，则称函数f(x)在点x_０可导，并称此极限是f(x)在x_０的导数，记为f′（x_０）或y′[jb(｜]x＝x_０、ddxf(x_０）、dydx_x＝x_０。导数dydx表示变量y对x的变化率，物理学、工程技术、经济学等方面许多现象的变化规律可用导数来表示。	['导函数']	['其他']
214	214	[]	模方	1		[]	['其他']
215	215	[]	序列	1	数学上，序列是被排成一列的对象（或事件）；这样每个元素不是在其他元素之前，就是在其他元素之后。这里，元素之间的顺序非常重要。	[]	['其他']
216	216	[1423]	公差	1	如果一个数列从第2项起，每一项与它前一项的差等于同一个常数，这个数列就叫作等差数列，这个常数叫作这个等差数列的公差，记作d。	[]	['其他']
217	217	[128]	上凸	1		[]	['其他']
218	218	[]	倍角	1		[]	['其他']
219	219	[]	共点	1		[]	['其他']
220	220	[]	渐近	1		[]	['其他']
221	221	[386]	同解	1		[]	['其他']
222	222	[171]	原象	1		[]	['其他']
223	223	[]	增量	1	一系列变量中的多于一个的变量,在数值上的正负变化量。	[]	['其他']
224	224	[624]	非负	1		[]	['其他']
225	225	[6]	半圆	1	圆的直径的两个端点把圆周分成两条弧，每一条弧叫做半圆。	[]	['其他']
226	226	[]	加数	1	1.增加数量。	[]	['其他']
227	227	[]	可积	1		[]	['其他']
228	228	[]	百万	1	形容数目极大。	[]	['其他']
229	229	[]	余割	1	直角三角形任意一锐角的斜边和对边的比，叫做该锐角的馀割。用csc(角)表示。参见“三角函数”。	[]	['其他']
230	230	[169]	截面	1	见〖剖面〗。	[]	['其他']
231	231	[974, 739]	范围	1	周围界限：地区范围ㄧ工作范围ㄧ活动范围ㄧ他们谈话的范围很广，涉及政治、科学、文学等各方面。	[]	['其他']
232	232	[]	除法	1	数学名词。数学中基本运算之一。一个数被另一个数(不是零)分成若干等分的方法。是乘法的逆运算。	['除', '除以']	['其他']
233	233	[]	下凸	1		[]	['其他']
234	234	[]	图表	1	指图谶之表征。	[]	['其他']
235	235	[]	总计	1	总共计算。	[]	['其他']
236	236	[]	模数	1		[]	['其他']
237	237	[]	定理	1	已经证明具有正确性、可以作为原则或规律的命题或公式，如几何定理。	[]	['其他']
238	238	[3354, 187, 154, 80, 70, 863, 1765, 2021, 531, 1693, 3500]	直角	1	见“角”。	[]	['其他']
239	239	[]	定长	1		[]	['其他']
240	240	[]	复角	1		[]	['其他']
241	241	[456]	无限	1	见“有限与无限”。	[]	['其他']
242	242	[]	单调	1	只有一种的或重复而缺少变化：色彩单调｜形式单调｜单调的生活。	[]	['其他']
243	243	[]	净值	1	生产部门在一定时期内投入生产的活劳动所新创造的价值，是总产值减去物质消耗后的余额。	[]	['其他']
244	244	[508, 525, 1491]	比例	1	表示两个比相等的式子，如3：4＝9：12。	[]	['其他']
245	245	[]	命题	1	通常指表示判断的陈述句。一般认为，凡陈述句都表示判断，都是命题；而疑问句、祈使句、感叹句则不直接表示判断，不是命题。也有人对命题和判断不作区别，认为是一回事。	[]	['其他']
246	246	[688, 538, 674, 842, 787]	顶点	1	角的两条边的交点；锥体的尖顶。	[]	['其他']
247	247	[674, 116, 787]	准线	1	见“椭圆”(802页)、“双曲线”(299页)、“抛物线”。	[]	['其他']
248	248	[]	邻角	1	如果两个角有公共顶点和一条公共边，并且它们的另一条边分别在这条公共边的两侧，称一个角为另一个角的邻角。	[]	['其他']
249	249	[29, 129, 447, 842, 372, 987, 169, 82]	夹角	1	两条线(直线或曲线)所夹的角。	[]	['其他']
250	250	[]	后乘	1	从臣的车马。亦泛指随从在后面的车马。	[]	['其他']
